Vitesse,iter,PWM,Moteur état,état machine, flowing state, isFlowing, flowingChrono, stoppedChrono, Courant, etat wattmetre,Kp, capteur, rCapteur, timestamp, dérivée 1, dérivée 2
0.00,304,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3672,0.00,0.00
0.00,305,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3695,0.00,0.00
0.00,306,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3718,0.00,0.00
0.00,307,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3741,0.00,0.00
0.00,308,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3764,0.00,0.00
0.00,309,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3787,0.00,0.00
0.00,310,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3810,0.00,0.00
0.00,311,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3833,0.00,0.00
0.00,312,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3856,0.00,0.00
0.00,313,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3879,0.00,0.00
0.00,314,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3902,0.00,0.00
0.00,315,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3925,0.00,0.00
0.00,316,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3948,0.00,0.00
0.00,317,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3971,0.00,0.00
0.00,318,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,3994,0.00,0.00
0.00,319,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4018,0.00,0.00
0.00,320,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4042,0.00,0.00
0.00,321,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4066,0.00,0.00
0.00,322,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4090,0.00,0.00
0.00,323,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4114,0.00,0.00
0.00,324,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4138,0.00,0.00
0.00,325,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4162,0.00,0.00
0.00,326,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4186,0.00,0.00
0.00,327,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4210,0.00,0.00
0.00,328,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4234,0.00,0.00
0.00,329,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4258,0.00,0.00
0.00,330,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4282,0.00,0.00
0.00,331,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4306,0.00,0.00
0.00,332,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4330,0.00,0.00
0.00,333,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4355,0.00,0.00
0.00,334,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4380,0.00,0.00
0.00,335,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4405,0.00,0.00
0.00,336,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4430,0.00,0.00
0.00,337,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4455,0.00,0.00
0.00,338,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4480,0.00,0.00
0.00,339,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4505,0.00,0.00
0.00,340,0.00,0,0,0,0,0,0, 0.00,1,1.00,0.00,0.00,4530,0.00,0.00
